Numero,Nombre,Comienzo,Fin
1,Nochebuena,24/12/2025,24/12/2025
2,Navidad,25/12/2025,25/12/2025
3,Nochevieja,31/12/2025,31/12/2025
4,Año nuevo,01/01/2026,01/01/2026
5,Carnaval,16/02/2026,16/02/2026
6,Carnaval,17/02/2026,17/02/2026
7,Puente turistico no laborable,23/03/2026,23/03/2026
8,Dia Nacional de la Memoria por la Verdad y la Justicia,24/03/2026,24/03/2026
9,Dia del Veterano y de los Caidos en la Guerra de Malvinas,02/04/2026,02/04/2026
10,Viernes Santo,03/04/2026,03/04/2026
11,Dia del Trabajador,01/05/2026,01/05/2026
12,Dia de la Revolucion de Mayo,25/05/2026,25/05/2026
13,Paso a la Inmortalidad del General Martin Guemes (17/6),15/06/2026,15/06/2026
14,Paso a la Inmortalidad del General Manuel Belgrano,20/06/2026,20/06/2026
15,Dia de la Independencia,09/07/2026,09/07/2026
16,Puente turistico no laborable,10/07/2026,10/07/2026
17,Paso a la Inmortalidad del Gral. Jose de San Martin,17/08/2026,17/08/2026
18,Dia del Respeto a la Diversidad Cultural,12/10/2026,12/10/2026
19,Dia de la Soberania Nacional (20/11),23/11/2026,23/11/2026
20,Puente turistico no laborable,07/12/2026,07/12/2026
21,Dia de la Inmaculada Concepcion de Maria,08/12/2026,08/12/2026
22,Nochebuena,24/12/2026,24/12/2026
23,Navidad,25/12/2026,25/12/2026
24,Nochevieja,31/12/2026,31/12/2026
25,Año nuevo,01/01/2027,01/01/2027
